Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene45	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.28	0	0	0	0	0	0
Gene46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene47	0	0	0	0	0	0	3.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene48	110.41	116.86	110.49	107.19	118.99	118.09	59.33	18.92	31.72	58.46	17.84	29.57	54.49	19.44	28.24	47.97	19.89	28.8	19.88	20.4	29.44	6.54	28.14	34.09	33.57	43.7	47.94	48.94	49.01	51.07	58.1	22.59	17.3	36.15	28.38	31.61	50.89	26.91	31.9	31.59	37.77	26.44	31.22	41.34	40.07
Gene49	0.17	0.05	0	0.09	0.07	0	0.19	0.07	0.21	0.09	0.18	0.05	1.17	0	0.14	0.11	0.41	0	0.16	0.27	0.23	0.04	0.19	0.29	0.16	0.27	0.3	0.07	0.03	0.21	0.37	0.14	0	0	0	0.05	0.04	0.24	0	0.18	0.26	0	0	0.77	0
Gene50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene51	26.01	31.2	28.91	24.98	27.55	28.12	12.19	7.4	8.89	13.81	8.14	8.72	12.96	9.52	6.33	12.51	9.39	10.08	7.9	6.66	6.63	4.57	8.52	6.86	7.68	8.93	8.43	7.84	10.39	10.18	10.38	6.23	3.9	8.85	7.9	6.35	14.31	9.11	7.08	9.93	8.32	6.68	10.38	11.42	10.77
Gene52	0.46	0.67	0.7	0.8	0	0.64	0.15	2.5	0.39	0	0.17	0.88	0	0.29	0.36	0.68	0	0.35	0.74	1.01	0.52	1.43	1.71	1.1	1.03	0.37	0	0.64	0.5	0.56	0.5	0.87	2.41	0.33	0.87	0.52	0.42	0.14	0.32	0.97	0.14	0	0.56	0.63	0.77
Gene53	0.64	0.57	0.44	0.75	1.08	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0.74	0	0.32	0	0.1	0.12	0	0	0	0	0	0	0	0.3	0.41	0	0.36	0	0	0
Gene54	133.16	148.87	136.37	137.72	150.35	136.4	87.37	71.89	64.02	73.42	75.61	61.68	73.8	52.87	36.87	64.3	75.09	56.97	73.63	72.72	40.96	8.58	101.58	49.8	40.55	51.45	49.22	52.31	56.9	58.55	71.1	31.62	42.42	64.42	60.15	52.91	52.55	38.02	52.07	55.1	52.26	58.28	56.29	37.39	44.12
Gene55	60.19	65.3	56.54	68.97	58.91	63.83	47.15	12.03	11.92	39.35	15.59	12.55	47.84	7.53	8.86	24.98	9.19	6.91	9.9	13.02	4.41	0.83	19.65	8.25	3.23	36.99	41.81	45.5	48.41	45.2	40.14	28.03	26.26	42.17	26.26	42.94	53.22	39.02	43.84	43.16	54.22	28.52	51.83	54.76	53.96
Gene56	0	0	0	0.48	0	0.32	1.63	1.02	0.29	0.48	0	1.06	0.32	0.88	1.08	0	0.27	1.05	0.66	0.43	0.26	0.13	0.21	0.33	0	0	0.21	0	0	0.82	0	0.64	0	0	0.26	0	0.51	0	0.58	0	0	0.32	0.28	0	0
Gene57	79.14	83.92	71.78	77.28	78.66	73	16.24	10.02	9.96	13.77	14.94	9.85	14.03	12.32	4.73	18.41	12.5	7.78	13.6	15.82	5.01	0.54	15.95	4.72	4.02	14.23	13.19	14.83	14.92	14.67	17.96	7.87	10.64	16.81	13.25	12.62	16.21	10.65	13.29	14.28	12.07	13.77	13.13	12.06	13.25
Gene58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene60	0.07	0	0	0.07	0	0	0.73	0.76	0.27	0.55	0	0.24	1.22	2.05	0.28	0.99	0.83	1.04	0.55	1.25	0.3	1.1	0.63	1.03	0.8	0.38	0.18	0.12	0.14	0.39	0.19	0	0.62	0.25	0.32	0.1	1.56	0.35	0	0.15	0.07	0	0.26	0.72	0.3
Gene61	0	0	0	0	0	0	0.05	0	0	0	0	0	0.68	0	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0	0.27	0.05	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene62	2.43	3.48	2.61	3.31	2.91	3.17	2.49	0.53	1.49	1.81	0.96	1.08	1.13	0.66	1.41	1.75	0.79	0.48	1.32	0.91	0.99	0.46	1.38	1.73	1.69	1.69	1.32	1.26	1.29	0.93	2.18	0.85	1	1.54	1.43	0.76	1.63	0.87	1.26	1.03	0.88	1.38	1.22	1.06	1.45
